Entity,Code,Date,people_vaccinated_per_hundred
Hawaii,,2021-01-22,4.8
Hawaii,,2021-01-23,4.8
Hawaii,,2021-01-24,4.8
Hawaii,,2021-01-25,5.25
Hawaii,,2021-01-26,5.36
Hawaii,,2021-01-27,5.59
Hawaii,,2021-01-28,5.94
Hawaii,,2021-01-29,6.32
Hawaii,,2021-01-30,6.83
Hawaii,,2021-01-31,7.3
Hawaii,,2021-02-01,7.68
Hawaii,,2021-02-02,7.82
Hawaii,,2021-02-03,8.15
Hawaii,,2021-02-04,8.51
Hawaii,,2021-02-05,8.95
Hawaii,,2021-02-06,9.37
Hawaii,,2021-02-07,9.69
Hawaii,,2021-02-08,10.05
Hawaii,,2021-02-09,10.05
Hawaii,,2021-02-10,10.05
